Drug,DrugMechOfAction,DrugTargetAll,Cancer_PhaseIV,DrugRegulonAll,DrugProgramAll,DrugProgramOverActive,DrugProgramUnderActive,DrugConstrainedProgramActivity,DrugRegulonOverActive,DrugRegulonUnderActive,DrugConstrainedRegulonActivity,IC50,AUCmin-max,sample
NISOLDIPINE,Voltage-gated L-type calcium channel blocker,CACNA1S,4,2502,150,NA,NA,NA,NA,NA,NA,5e-6,5.43002e-4,SN655
DISULFIRAM,Aldehyde dehydrogenase inhibitor,ALDH2,4,"2011,3180",132,NA,NA,NA,NA,NA,NA,2.24e-5,7.21897e-4,SN655
HALOPERIDOL,Serotonin 2a (5-HT2a) receptor antagonist:D2-like dopamine receptor inverse agonist,HTR2A,4,859,126,NA,NA,0,NA,NA,NA,120,0.001182905,SN655
SIMVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,5e-6,5.79883e-4,SN655
FLUOROURACIL,DNA inhibitor:RNA inhibitor:Thymidylate synthase inhibitor,TYMS,4,"941,982",74,NA,NA,0,NA,NA,NA,1.01e-5,9.43406e-4,SN655
GEMCITABINE,DNA polymerase (alpha/delta/epsilon) inhibitor:Ribonucleoside-diphosphate reductase RR1 inhibitor,"POLA1,POLD1,RRM1",4,"579,684,923,947,957,961,1186,1366,1920,3274,3356,3450,3602,3614","62,68,74",NA,NA,0,NA,NA,NA,1.6e-9,1.48195e-4,SN655
ERLOTINIB,Epidermal growth factor receptor erbB1 inhibitor,EGFR,4,"54,83,167,772,990,1704,1795,2969,2989,3109","45,102",45,NA,1,NA,NA,NA,9.1e-6,7.37782e-4,SN655
IRINOTECAN,DNA topoisomerase I inhibitor,TOP1,4,"88,1234,2030,2716","49,65",NA,NA,NA,NA,NA,NA,9.16e-7,2.41377e-4,SN655
SIROLIMUS,FK506-binding protein 1A inhibitor,FKBP1A,4,"140,294,331,348,428,509,599,645,664,708,1962,2037,2801,3155,3204,3491","1,40,85",NA,NA,0,NA,NA,NA,0.002,6.41543e-4,SN655
PITAVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,1.3e-6,4.41543e-4,SN655
FLUDARABINE PHOSPHATE,Ribonucleoside-diphosphate reductase RR1 inhibitor:DNA polymerase (alpha/delta/epsilon) inhibitor,"POLA1,POLD1,RRM1",4,"579,684,923,947,957,961,1186,1366,1920,3274,3356,3450,3602,3614","62,68,74",NA,NA,0,NA,NA,NA,1.21e-5,7.59135e-4,SN655
METHOTREXATE,Dihydrofolate reductase inhibitor,DHFR,4,"941,956,959,982",74,NA,NA,0,NA,NA,NA,4.32e-8,2.57e-5,SN655
CYTARABINE,DNA inhibitor:DNA polymerase (alpha/delta/epsilon) inhibitor:RNA inhibitor,"POLA1,POLD1",4,"923,947,957,961",62,NA,NA,NA,NA,NA,NA,3.85e-7,4.7252e-4,SN655
ATORVASTATIN CALCIUM,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,2.3e-6,3.84364e-4,SN655
ROSUVASTATIN CALCIUM,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,5.56e-5,9.28376e-4,SN655
IDARUBICIN,DNA inhibitor:DNA topoisomerase II alpha inhibitor,TOP2A,4,946,152,152,NA,1,NA,NA,NA,2.68e-8,1.18e-5,SN655
DOXORUBICIN,DNA inhibitor:DNA topoisomerase II alpha inhibitor,TOP2A,4,946,152,152,NA,1,NA,NA,NA,2.35e-8,2.65e-5,SN655
ALBENDAZOLE,NA,TUBA1A,NA,"755,1316,1532,1608,1635,1716,1815,1854,1996,2254,2314,2339,2434,2786,2804,2869,3076,3145,3257,3548,3647","23,88,104,152","104,152",NA,0.8571428571428571,NA,NA,NA,6.35e-7,1.63211e-4,SN655
AURANOFIN,NA,IKBKB,NA,"841,1097,1140,1190,1365,1943,2608,2698,3407",93,NA,NA,0,NA,NA,NA,2.05e-7,1.12415e-4,SN655
BLEOMYCIN,NA,"LIG1,LIG3",NA,"905,1284,1926,3040,3295,3307,3356","62,74",NA,NA,0,NA,NA,NA,5.74e-7,3.35817e-4,SN655
CHLOROQUINE,NA,"ACE2,HMGB1",NA,"1472,1911,1982,2222,2655,3007,3249,3416,3457","52,64,149",64,NA,0.6,NA,NA,NA,4.5e-6,5.79463e-4,SN655
CLADRIBINE,NA,"POLA1,POLE,POLE2,POLE3,RRM1,RRM2",NA,"366,501,579,684,693,906,923,947,948,959,960,961,962,964,1030,1186,1366,1720,1818,1920,2051,2292,2529,3202,3274,3356,3450,3602,3614,3637,3676","62,68,74,152,153",152,NA,0.0625,NA,NA,NA,8.62e-8,3.4e-5,SN655
CLONIDINE HCI,NA,"ADRA1B,ADRA2B",NA,"726,733,2452,2547",150,NA,NA,NA,NA,NA,NA,439e26,9.71003e-4,SN655
EPIRUBICIN HCI,NA,TOP2A,NA,946,152,152,NA,1,NA,NA,NA,1.52e-8,2.57e-5,SN655
FLUPHENAZINE HCI,NA,"AR,CALM1,HTR2A",NA,"54,167,724,859,3423,3661","89,102,126,132",NA,NA,0,NA,NA,NA,6.2e-6,6.25325e-4,SN655
ITRACONAZOLE,NA,CYP51A1,NA,"1447,1750,2257,3144,3751",100,NA,NA,NA,NA,NA,NA,2.87e-5,7.80124e-4,SN655
KETOCONAZOLE,NA,"AR,KCNH2,NR1I3",NA,"54,167,724,1389,1506,1724,2176,2204,2449,2453,3348,3423","89,102,129,150,170",NA,NA,0,NA,NA,NA,2.82e-5,0.001120588,SN655
LOMUSTINE,NA,STMN4,NA,"1414,1677,3739",133,NA,NA,0,NA,NA,NA,4.8e-6,6.28223e-4,SN655
METHYLENE BLUE,NA,GUCY1A2,NA,"246,492,545,611,1530,1690,1761,2927,3443","158,176",NA,NA,NA,NA,NA,NA,3.8e-6,5.18937e-4,SN655
MITOXANTRONE HCI,NA,TOP2A,NA,946,152,152,NA,1,NA,NA,NA,1.75e-8,1.96e-5,SN655
TOPOTECAN HCI,NA,TOP1,NA,"88,1234,2030,2716","49,65",NA,NA,NA,NA,NA,NA,2.49e-8,1.30946e-4,SN655
TRIFLUOPERAZINE HCI,NA,"CALM1,S100A4",NA,"805,1997,3093,3661","86,132",86,NA,1,NA,NA,NA,5.9e-6,6.40672e-4,SN655
