Drug,DrugMechOfAction,DrugTargetAll,Cancer_PhaseIV,DrugRegulonAll,DrugProgramAll,DrugProgramOverActive,DrugProgramUnderActive,DrugConstrainedProgramActivity,DrugRegulonOverActive,DrugRegulonUnderActive,DrugConstrainedRegulonActivity,IC50,AUCmin-max,sample
HYDROXYCHLOROQUINE,Ferriprotoporphyrin IX inhibitor:Toll-like receptor 7 antagonist:Toll-like receptor 9 antagonist,TLR7,4,"34,73,115,133,202,260,290,325,378,402,436,440,457,480,536,598,640,652,745,784,787",2,NA,2,-1,NA,"34,115,290,402,436,457,480,787",-0.6666666666666666,135e89,0.0011571,SN528
PINDOLOL,Beta-1 adrenergic receptor partial agonist:Beta-2 adrenergic receptor partial agonist,ADRB2,4,"34,59,98,154,190,221,235,290,325,378,402,427,457,480,536,549,573,598,640,676,700,767,784,787,836",2,NA,2,-1,NA,"34,154,290,402,457,480,549,700,787",-0.6923076923076923,1.19e-5,9.16984e-4,SN528
CLOFAZIMINE,NA,"KCNA3,PPARG",NA,"17,34,35,73,226,260,261,290,325,436,457,458,480,573,640,652,668,676,745,767,769,812,836,878,1256,1267,1274,1384,1462,1487,2336,2723,3105,3730","2,18,133,136,141,149",NA,"2,18",-0.6774193548387096,NA,"34,35,290,436,457,480",-0.8571428571428571,0.095,8.99949e-4,SN528
COLCHICINE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,95.5,7.94111e-4,SN528
SUNITINIB,Tyrosine-protein kinase receptor RET inhibitor:Vascular endothelial growth factor receptor inhibitor:Platelet-derived growth factor receptor inhibitor:Macrophage colony stimulating factor receptor inhibitor:Stem cell growth factor receptor inhibitor:Tyrosine-protein kinase receptor FLT3 inhibitor,"CSF1R,FLT3,KDR,KIT,PDGFRA,PDGFRB",4,"149,156,174,176,235,332,427,558,581,598,600,610,745,848,958,966,996,1035,1071,1162,1171,1192,1210,1213,1238,1245,1295,1322,1343,1358,1402,1748,1782,1801,2121,2609,2724,2940,3054,3073,3269,3481,3485,3561","2,77,126,150,156,160,161",NA,2,-0.29411764705882354,NA,NA,NA,2.28e-5,7.28826e-4,SN528
TENIPOSIDE,DNA topoisomerase II inhibitor,"TOP2A,TOP2B",4,"946,1113","77,152",152,NA,0.5,NA,NA,NA,2.9e-6,5.74181e-4,SN528
VALPROIC ACID,Succinate semialdehyde dehydrogenase inhibitor,ALDH5A1,4,1021,132,NA,NA,NA,NA,NA,NA,9.94e-5,8.19347e-4,SN528
ETOPOSIDE,DNA topoisomerase II inhibitor,"TOP2A,TOP2B",4,"946,1113","77,152",152,NA,0.5,NA,NA,NA,5.79e-5,8.7404e-4,SN528
FLUVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,7.4e-6,6.64906e-4,SN528
LOVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,1.91e-4,8.43366e-4,SN528
BORTEZOMIB,26S proteosome inhibitor,PSMB5,4,"1184,1191,1923",152,152,NA,1,NA,NA,NA,3.15e-7,5.8e-5,SN528
VINBLASTINE SULFATE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,9.64e-5,8.07374e-4,SN528
VINCRISTINE SULFATE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,0.0026,6.50405e-4,SN528
PACLITAXEL,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,5.89e-8,2.87086e-4,SN528
MEMANTINE,Glutamate [NMDA] receptor negative allosteric modulator,"GRIN1,GRIN2A",4,"859,860,1499",126,NA,NA,0,NA,NA,NA,5.51e-5,8.85598e-4,SN528
DOCETAXEL,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,3.83e-8,3.65535e-4,SN528
CLOFARABINE,DNA inhibitor:DNA polymerase (alpha/delta/epsilon) inhibitor:Ribonucleoside-diphosphate reductase RR1 inhibitor,"POLA1,POLD1,RRM1",4,"579,684,923,947,957,961,1186,1366,1920,3274,3356,3450,3602,3614","62,68,74",NA,NA,0,NA,NA,NA,9.3e-6,6.42246e-4,SN528
VINORELBINE,Tubulin inhibitor,"TUBB1,TUBB2A,TUBB3",4,"332,400,581,988,996,1035,1071,1120,1162,1343,1498,1512,1654,1801,1878,2924,2940,3054,3561","77,126,150,156",NA,NA,0,NA,NA,NA,2.1e-4,5.72165e-4,SN528
DAUNORUBICIN,DNA inhibitor:DNA topoisomerase II alpha inhibitor,TOP2A,4,946,152,152,NA,1,NA,NA,NA,2.62e-7,7.83e-5,SN528
NISOLDIPINE,Voltage-gated L-type calcium channel blocker,CACNA1S,4,2502,150,NA,NA,NA,NA,NA,NA,1e-5,7.93866e-4,SN528
DISULFIRAM,Aldehyde dehydrogenase inhibitor,ALDH2,4,"2011,3180",132,NA,NA,NA,NA,NA,NA,1.01e-5,8.99778e-4,SN528
HALOPERIDOL,Serotonin 2a (5-HT2a) receptor antagonist:D2-like dopamine receptor inverse agonist,HTR2A,4,859,126,NA,NA,0,NA,NA,NA,0.0693,0.001071196,SN528
SIMVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,1.09e-5,7.49059e-4,SN528
FLUOROURACIL,DNA inhibitor:RNA inhibitor:Thymidylate synthase inhibitor,TYMS,4,"941,982",74,NA,NA,0,NA,NA,NA,1.48e-5,8.92951e-4,SN528
GEMCITABINE,DNA polymerase (alpha/delta/epsilon) inhibitor:Ribonucleoside-diphosphate reductase RR1 inhibitor,"POLA1,POLD1,RRM1",4,"579,684,923,947,957,961,1186,1366,1920,3274,3356,3450,3602,3614","62,68,74",NA,NA,0,NA,NA,NA,2.8e-6,4.83791e-4,SN528
ERLOTINIB,Epidermal growth factor receptor erbB1 inhibitor,EGFR,4,"54,83,167,772,990,1704,1795,2969,2989,3109","45,102",45,NA,1,NA,NA,NA,1.96e-5,7.65987e-4,SN528
IRINOTECAN,DNA topoisomerase I inhibitor,TOP1,4,"88,1234,2030,2716","49,65",NA,NA,NA,NA,NA,NA,1.02e-5,6.74534e-4,SN528
SIROLIMUS,FK506-binding protein 1A inhibitor,FKBP1A,4,"140,294,331,348,428,509,599,645,664,708,1962,2037,2801,3155,3204,3491","1,40,85",1,NA,1,NA,NA,NA,3.26e-4,7.03883e-4,SN528
PITAVASTATIN,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,1.58e-5,6.6569e-4,SN528
FLUDARABINE PHOSPHATE,Ribonucleoside-diphosphate reductase RR1 inhibitor:DNA polymerase (alpha/delta/epsilon) inhibitor,"POLA1,POLD1,RRM1",4,"579,684,923,947,957,961,1186,1366,1920,3274,3356,3450,3602,3614","62,68,74",NA,NA,0,NA,NA,NA,1.98e-5,8.28584e-4,SN528
METHOTREXATE,Dihydrofolate reductase inhibitor,DHFR,4,"941,956,959,982",74,NA,NA,0,NA,NA,NA,9.13e-8,5.28e-5,SN528
CYTARABINE,DNA inhibitor:DNA polymerase (alpha/delta/epsilon) inhibitor:RNA inhibitor,"POLA1,POLD1",4,"923,947,957,961",62,NA,NA,NA,NA,NA,NA,733e27,0.001032953,SN528
ATORVASTATIN CALCIUM,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,8e-6,6.8262e-4,SN528
ROSUVASTATIN CALCIUM,HMG-CoA reductase inhibitor,HMGCR,4,1387,136,NA,NA,NA,NA,NA,NA,1.18e-5,0.001027911,SN528
IDARUBICIN,DNA inhibitor:DNA topoisomerase II alpha inhibitor,TOP2A,4,946,152,152,NA,1,NA,NA,NA,1.09e-7,9.69e-5,SN528
DOXORUBICIN,DNA inhibitor:DNA topoisomerase II alpha inhibitor,TOP2A,4,946,152,152,NA,1,NA,NA,NA,3.14e-7,2.72872e-4,SN528
ALBENDAZOLE,NA,TUBA1A,NA,"755,1316,1532,1608,1635,1716,1815,1854,1996,2254,2314,2339,2434,2786,2804,2869,3076,3145,3257,3548,3647","23,88,104,152","104,152",NA,0.8571428571428571,NA,NA,NA,1.7e-6,4.66521e-4,SN528
AURANOFIN,NA,IKBKB,NA,"841,1097,1140,1190,1365,1943,2608,2698,3407",93,NA,NA,0,NA,NA,NA,8.13e-7,2.07055e-4,SN528
BLEOMYCIN,NA,"LIG1,LIG3",NA,"905,1284,1926,3040,3295,3307,3356","62,74",NA,NA,0,NA,NA,NA,1.03e-5,6.80911e-4,SN528
CHLOROQUINE,NA,"ACE2,HMGB1",NA,"1472,1911,1982,2222,2655,3007,3249,3416,3457","52,64,149",64,NA,0.6,NA,NA,NA,1.23e-4,7.92275e-4,SN528
CLADRIBINE,NA,"POLA1,POLE,POLE2,POLE3,RRM1,RRM2",NA,"366,501,579,684,693,906,923,947,948,959,960,961,962,964,1030,1186,1366,1720,1818,1920,2051,2292,2529,3202,3274,3356,3450,3602,3614,3637,3676","62,68,74,152,153",152,NA,0.0625,NA,NA,NA,5.9e-6,6.29311e-4,SN528
CLONIDINE HCI,NA,"ADRA1B,ADRA2B",NA,"726,733,2452,2547",150,NA,NA,NA,NA,NA,NA,3e-6,4.0482e-4,SN528
EPIRUBICIN HCI,NA,TOP2A,NA,946,152,152,NA,1,NA,NA,NA,1.04e-7,1.89458e-4,SN528
FLUPHENAZINE HCI,NA,"AR,CALM1,HTR2A",NA,"54,167,724,859,3423,3661","89,102,126,132",NA,NA,0,NA,NA,NA,1e-5,8.52979e-4,SN528
ITRACONAZOLE,NA,CYP51A1,NA,"1447,1750,2257,3144,3751",100,NA,NA,NA,NA,NA,NA,0.137,0.001073429,SN528
KETOCONAZOLE,NA,"AR,KCNH2,NR1I3",NA,"54,167,724,1389,1506,1724,2176,2204,2449,2453,3348,3423","89,102,129,150,170",NA,NA,0,NA,NA,NA,6.18e-5,7.83184e-4,SN528
LOMUSTINE,NA,STMN4,NA,"1414,1677,3739",133,NA,NA,0,NA,NA,NA,801e27,8.19958e-4,SN528
METHYLENE BLUE,NA,GUCY1A2,NA,"246,492,545,611,1530,1690,1761,2927,3443","158,176",NA,NA,NA,NA,NA,NA,1.52e-4,8.85023e-4,SN528
MITOXANTRONE HCI,NA,TOP2A,NA,946,152,152,NA,1,NA,NA,NA,7.12e-8,8.43e-5,SN528
TOPOTECAN HCI,NA,TOP1,NA,"88,1234,2030,2716","49,65",NA,NA,NA,NA,NA,NA,5.08e-7,3.17316e-4,SN528
TRIFLUOPERAZINE HCI,NA,"CALM1,S100A4",NA,"805,1997,3093,3661","86,132",86,NA,1,NA,NA,NA,0.0014,9.36843e-4,SN528
