DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000469,YH13,YH13_CENTRAL_NERVOUS_SYSTEM,,909905,Male,HSRRB,2,-4.80246423,Adherent,EMEM + 20% FBS,51.8,CVCL_1795,central_nervous_system,Primary,Brain Cancer,Glioblastoma,40,SIDM00316,468,,central_nervous_system,glioma,glioblastoma,
ACH-000479,KNS81,KNS81_CENTRAL_NERVOUS_SYSTEM,,,Male,HSRRB,0,-1.854234835,,DMEM + 5% FBS,40,CVCL_2799,central_nervous_system,Primary,Brain Cancer,Glioblastoma,65,SIDM00605,,,central_nervous_system,glioma,glioblastoma,
ACH-000543,SNU489,SNU489_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,,,,,,CVCL_5069,central_nervous_system,,Brain Cancer,Glioblastoma,54,,,,central_nervous_system,glioma,glioblastoma,
ACH-000558,A172,A172_CENTRAL_NERVOUS_SYSTEM,,687563,Male,ATCC,,,,,,CVCL_0131,central_nervous_system,Primary,Brain Cancer,Glioblastoma,53,SIDM00799,1777,,central_nervous_system,glioma,glioblastoma,
ACH-000570,YKG1,YKG1_CENTRAL_NERVOUS_SYSTEM,,687592,Female,HSRRB,2,-4.778727761,,DMEM + 10% FBS,78.9,CVCL_1796,central_nervous_system,Primary,Brain Cancer,Glioblastoma,,SIDM00315,61,,central_nervous_system,glioma,glioblastoma,
ACH-000571,T98G,T98G_CENTRAL_NERVOUS_SYSTEM,,687586,Male,ATCC,2,-4.705596718,Adherent,EMEM + 10% FBS,79.6,CVCL_0556,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,SIDM01171,131,,central_nervous_system,glioma,glioblastoma,
ACH-000595,LN229,LN229_CENTRAL_NERVOUS_SYSTEM,,1240169,Female,ATCC,,,,,,CVCL_0393,central_nervous_system,Primary,Brain Cancer,Glioblastoma,60,SIDM00684,1504,,central_nervous_system,glioma,glioblastoma,
ACH-000622,KNS42,KNS42_CENTRAL_NERVOUS_SYSTEM,,907282,Male,HSRRB,2,-3.123873494,Adherent,EMEM + 5% FBS,61.9,CVCL_0378,central_nervous_system,Primary,Brain Cancer,Glioblastoma,16,SIDM00607,1149,,central_nervous_system,glioma,glioblastoma,
ACH-000623,SNU201,SNU201_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,2,-4.500786151,,RPMI + 10% FBS,77.3,CVCL_5033,central_nervous_system,Primary,Brain Cancer,Glioblastoma,58,SIDM00158,,,central_nervous_system,glioma,glioblastoma,
ACH-000634,LN340,LN340_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,1,-3.705175163,not found,not found,49.7,CVCL_3955,central_nervous_system,,Brain Cancer,Glioblastoma,,,,,central_nervous_system,glioma,glioblastoma,
ACH-000673,LN443,LN443_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-5.054909652,not found,not found,,CVCL_3960,central_nervous_system,,Brain Cancer,Glioblastoma,,,,,central_nervous_system,glioma,glioblastoma,
ACH-000676,LN464,LN464_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,2,-5.314479081,not found,not found,,CVCL_3962,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00058,,,central_nervous_system,glioma,glioblastoma,
ACH-000738,GB1,GB1_CENTRAL_NERVOUS_SYSTEM,,687568,Male,HSRRB,2,-4.776891613,,EMEM + 10% FBS,89,CVCL_1227,central_nervous_system,Primary,Brain Cancer,Glioblastoma,35,SIDM00581,2095,,central_nervous_system,glioma,glioblastoma,
ACH-000756,GI1,GI1_CENTRAL_NERVOUS_SYSTEM,,906871,Male,RIKEN,1,-3.671040518,Adherent,DMEM + 10% FBS,95.9,CVCL_1231,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,SIDM00273,245,,central_nervous_system,glioma,glioblastoma,
ACH-000760,LNZ308,LNZ308_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-5.056673776,not found,not found,89.8,CVCL_0394,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00682,,,central_nervous_system,glioma,glioblastoma,
ACH-000819,LN18,LN18_CENTRAL_NERVOUS_SYSTEM,,1240168,Male,ATCC,2,-3.922834563,Adherent,DMEM + 5% FBS,80.5,CVCL_0392,central_nervous_system,Primary,Brain Cancer,Glioblastoma,65,SIDM00685,1503,,central_nervous_system,glioma,glioblastoma,
ACH-000863,DBTRG05MG,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,,906835,Female,ATCC,,,,,,CVCL_1169,central_nervous_system,Primary,Brain Cancer,Glioblastoma,59,SIDM00867,1784,,central_nervous_system,glioma,glioblastoma,
ACH-000887,SF172,SF172_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2,-5.516734456,not found,not found,85,CVCL_V613,central_nervous_system,,Brain Cancer,Glioblastoma,,,,,central_nervous_system,glioma,glioblastoma,
ACH-001198,SNB19,SNB19_CENTRAL_NERVOUS_SYSTEM,SNB-19,,Male,DSMZ,,,,,,CVCL_0535,central_nervous_system,Primary,Brain Cancer,Glioblastoma,47,SIDM00109,,,central_nervous_system,glioma,glioblastoma,
ACH-001329,ANGMCSS,ANGMCSS_CENTRAL_NERVOUS_SYSTEM,,,Male,Sigma-Aldrich,2,-4.699596857,Adherent,DMEM:HAMS F12 (1:1) + 10% FBS + 2mM L-glutamine,79.2,CVCL_2297,central_nervous_system,Primary,Brain Cancer,Glioblastoma,65,,,,central_nervous_system,glioma,glioblastoma,
ACH-001605,NO10,NO10_CENTRAL_NERVOUS_SYSTEM,ONDA10,908452,Male,JCRB,,,,,,CVCL_3075,central_nervous_system,Primary,Brain Cancer,Glioblastoma,62,SIDM00574,36,,central_nervous_system,glioma,glioblastoma,
ACH-001606,NO11,NO11_CENTRAL_NERVOUS_SYSTEM,ONDA11,908450,Female,JCRB,,,,,,CVCL_3076,central_nervous_system,Primary,Brain Cancer,Glioblastoma,64,SIDM00573,1489,,central_nervous_system,glioma,glioblastoma,
ACH-001608,NP2,NP2_CENTRAL_NERVOUS_SYSTEM,,,Male,JCRB,2,-4.413206722,Adherent,DMEM + 10% FBS,88.9,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,63,,,,central_nervous_system,glioma,glioblastoma,
ACH-001609,NP3,NP3_CENTRAL_NERVOUS_SYSTEM,,,Male,JCRB,2,-4.092584753,Adherent,DMEM + 10% FBS,84,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,64,,,,central_nervous_system,glioma,glioblastoma,
ACH-001610,NP5,NP5_CENTRAL_NERVOUS_SYSTEM,,,Male,JCRB,2,-2.173801757,Adherent,DMEM + 10% FBS,73.6,CVCL_1R17,central_nervous_system,Primary,Brain Cancer,Glioblastoma,27,,,,central_nervous_system,glioma,glioblastoma,
ACH-001611,NP8,NP8_CENTRAL_NERVOUS_SYSTEM,,,Female,JCRB,1,-3.706915399,Adherent,DMEM + 10% FBS,54.4,CVCL_4W66,central_nervous_system,Primary,Brain Cancer,Glioblastoma,38,,,,central_nervous_system,glioma,glioblastoma,
ACH-001622,ONDA7,ONDA7_CENTRAL_NERVOUS_SYSTEM,,,Male,JCRB,1,-4.687948544,Adherent,DMEM + 10% FBS,66,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,51,,,,central_nervous_system,glioma,glioblastoma,
ACH-001623,ONDA8,ONDA8_CENTRAL_NERVOUS_SYSTEM,,,Female,JCRB,2,-3.625424783,Adherent,DMEM + 10% FBS,83.7,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,31,,,,central_nervous_system,glioma,glioblastoma,
ACH-001624,ONDA9,ONDA9_CENTRAL_NERVOUS_SYSTEM,,,Male,JCRB,2,-2.19836738,Adherent,DMEM + 10% FBS,77,CVCL_1R14,central_nervous_system,Primary,Brain Cancer,Glioblastoma,58,,,,central_nervous_system,glioma,glioblastoma,
ACH-002223,D245MG,D245MG_CENTRAL_NERVOUS_SYSTEM,,946366,Unknown,Sanger,,,,,,CVCL_1152,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM01021,1249,,central_nervous_system,glioma,glioblastoma,
ACH-002224,D247MG,D247MG_CENTRAL_NERVOUS_SYSTEM,,946367,Unknown,Sanger,,,,,,CVCL_1153,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00622,1075,,central_nervous_system,glioma,glioblastoma,
ACH-002225,D263MG,D263MG_CENTRAL_NERVOUS_SYSTEM,,946368,Unknown,Sanger,,,,,,CVCL_1154,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00732,453,,central_nervous_system,glioma,glioblastoma,
ACH-002226,D336MG,D336MG_CENTRAL_NERVOUS_SYSTEM,,946369,Unknown,Sanger,,,,,,CVCL_1156,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00620,609,,central_nervous_system,glioma,glioblastoma,
ACH-002227,D392MG,D392MG_CENTRAL_NERVOUS_SYSTEM,,946370,Unknown,Sanger,,,,,,CVCL_1158,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00542,1527,,central_nervous_system,glioma,glioblastoma,
ACH-002228,D423MG,D423MG_CENTRAL_NERVOUS_SYSTEM,,946372,Unknown,Sanger,,,,,,CVCL_1160,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00209,2092,,central_nervous_system,glioma,glioblastoma,
ACH-002229,D502MG,D502MG_CENTRAL_NERVOUS_SYSTEM,,946373,Unknown,Sanger,,,,,,CVCL_1162,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00208,768,,central_nervous_system,glioma,glioblastoma,
ACH-002230,D542MG,D542MG_CENTRAL_NERVOUS_SYSTEM,,753549,Unknown,Sanger,,,,,,CVCL_1164,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00207,898,,central_nervous_system,glioma,glioblastoma,
ACH-002231,D566MG,D566MG_CENTRAL_NERVOUS_SYSTEM,,946377,Unknown,Sanger,,,,,,CVCL_1166,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00206,2093,,central_nervous_system,glioma,glioblastoma,
ACH-002259,KNS81FD,KNS81FD_CENTRAL_NERVOUS_SYSTEM,,924188,Unknown,Sanger,,,,,,CVCL_1336,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM01210,1150,,central_nervous_system,glioma,glioblastoma,
ACH-002268,LN405,LN405_CENTRAL_NERVOUS_SYSTEM,,910694,Unknown,Sanger,,,,,,CVCL_1378,central_nervous_system,,Brain Cancer,Glioblastoma,,SIDM00343,1505,,central_nervous_system,glioma,glioblastoma,
ACH-000273,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,,905984,Female,Academic lab,2,-4.737097602,Mixed adherent and suspension,RPMI + 5% FBS,83.1,CVCL_1691,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00083,1781,,central_nervous_system,glioma,,
ACH-000389,H4,H4_CENTRAL_NERVOUS_SYSTEM,,907042,Male,ATCC,2,-2.442739731,Adherent,RPMI + 10% FBS,72.9,CVCL_1239,central_nervous_system,Primary,Brain Cancer,Glioma,37,SIDM00852,1244,,central_nervous_system,glioma,,
ACH-000504,SNB75,SNB75_CENTRAL_NERVOUS_SYSTEM,,905982,Female,Academic lab,2,-3.758656499,Adherent,RPMI + 5% FBS,67.7,CVCL_1706,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00095,1181,,central_nervous_system,glioma,,
ACH-000592,TM31,TM31_CENTRAL_NERVOUS_SYSTEM,,,Female,RIKEN,2,-4.149535086,,EMEM + 10% FBS,85.7,CVCL_6735,central_nervous_system,,Brain Cancer,Glioma,42,,,,central_nervous_system,glioma,,
ACH-000655,SF268,SF268_CENTRAL_NERVOUS_SYSTEM,,905986,Female,Academic lab,2,-4.30813499,Mixed adherent and suspension,RPMI + 5% FBS,52.6,CVCL_1689,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00085,1490,,central_nervous_system,glioma,,
ACH-001016,BECKER,BECKER_CENTRAL_NERVOUS_SYSTEM,,906746,Male,HSRRB,,,,,,CVCL_1093,central_nervous_system,,Brain Cancer,Glioma,57,SIDM00490,2090,,central_nervous_system,glioma,,
ACH-001118,M059J,M059J_CENTRAL_NERVOUS_SYSTEM,,949094,Male,,,,,,,CVCL_0400,central_nervous_system,,Brain Cancer,Glioma,,SIDM00659,2225,,central_nervous_system,glioma,,
ACH-001125,MOGGCCM,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,,908144,Unknown,,,,,,,CVCL_2613,central_nervous_system,,Brain Cancer,Glioma,,SIDM00532,1383,,central_nervous_system,glioma,,
ACH-001126,MOGGUVW,MOGGUVW_CENTRAL_NERVOUS_SYSTEM,,908145,Male,,,,,,,CVCL_2614,central_nervous_system,,Brain Cancer,Glioma,,SIDM00504,1543,,central_nervous_system,glioma,,
ACH-001214,U138MG,U138MG_CENTRAL_NERVOUS_SYSTEM,,,Male,ATCC,,,,,,CVCL_0020,central_nervous_system,,Brain Cancer,Glioma,50,SIDM01192,,,central_nervous_system,glioma,,
ACH-002276,MYM12,MYM12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330960,Unknown,Sanger,,,,,,CVCL_3035,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Biphenotypic Leukemia,,SIDM01217,126,,blood,acute_biphenotypic_leukemia,,
ACH-000020,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908132,Female,DSMZ,,,,,,CVCL_1409,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15,SIDM00331,1906,,blood,ALL,b_cell,
ACH-000032,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,,,,,,CVCL_0089,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",11,,,,blood,ALL,b_cell,
ACH-000059,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1247871,Male,ATCC,,,,,,CVCL_0103,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",9,SIDM01176,786,,blood,ALL,b_cell,
ACH-000070,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800,Male,DSMZ,2,-3.463143117,Adherent,RPMI + 20% heat inactivated FBS,52,CVCL_0079,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,SIDM01076,63,,blood,ALL,b_cell,
ACH-000130,NALM19,NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1835,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",26,,,,blood,ALL,b_cell,
ACH-000151,JM1,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327768,Male,ATCC,2,-2.489597079,Suspension,IMDM + 10% FBS,67,CVCL_3532,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM00689,2096,,blood,ALL,b_cell,
ACH-000156,MHHCALL4,MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908133,Male,DSMZ,,,,,,CVCL_1410,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",10,SIDM00376,2070,,blood,ALL,b_cell,
ACH-000492,MUTZ5,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1873,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",26,,,,blood,ALL,b_cell,
ACH-000728,KASUMI2,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_0590,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15,,,,blood,ALL,b_cell,
ACH-000782,SEM,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,2,-2.654542062,Suspension,IMDM + 10% FBS,74.6,CVCL_0095,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",5,,,,blood,ALL,b_cell,
ACH-000874,RS411,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909703,Female,ATCC,,,,,,CVCL_0093,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",32,SIDM01086,862,,blood,ALL,b_cell,
ACH-000922,RCHACV,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330994,Female,DSMZ,,,,,,CVCL_1851,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",8,SIDM00449,1160,,blood,ALL,b_cell,
ACH-000938,NALM6,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908158,Male,DSMZ,2,-4.195320696,,RPMI + 15% FBS,86.6,CVCL_0092,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",19,SIDM00429,973,,blood,ALL,b_cell,
ACH-000960,REH,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909696,Female,ATCC,2,-4.126740136,Suspension,RPMI + 10% FBS,65,CVCL_1650,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15,SIDM00447,1272,,blood,ALL,b_cell,
ACH-001106,KOPN8,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330933,Female,DSMZ,0,-2.562118624,,RPMI + 10% FBS,99.5,CVCL_1866,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",0.25,SIDM01034,1206,,blood,ALL,b_cell,
ACH-001639,ROS50,ROS50_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331025,Male,DSMZ,,,,,,CVCL_1887,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",69,SIDM00415,1764,,blood,ALL,b_cell,
ACH-001735,SEMK2,SEMK2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,Academic lab,2,-3.167492954,not found,not found,70.7,CVCL_S906,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",5,,,,blood,ALL,b_cell,
ACH-001736,HB1119,HB1119_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Unknown,Academic lab,2,-4.774629899,not found,not found,90.7,CVCL_8227,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,,,,blood,ALL,b_cell,
ACH-001993,NALM16,NALM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"NALM-16, Nalm-16",,Female,DSMZ,2,-3.687907484,Adherent,RPMI + 10% FBS,66.6,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,,,,blood,ALL,b_cell,
ACH-002059,P30OHK,P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,RIKEN,2,-3.941406223,Suspension,RPMI1640+10%FBS,77.5,CVCL_1631,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",11,SIDM00364,,,blood,ALL,b_cell,
ACH-002209,ALLPO,ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910944,Unknown,Sanger,,,,,,CVCL_1069,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM00211,1637,,blood,ALL,b_cell,
ACH-002211,BALL1,BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910705,Unknown,Sanger,,,,,,CVCL_1075,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM00287,48,,blood,ALL,b_cell,
ACH-002238,GRST,GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906877,Unknown,Sanger,,,,,,CVCL_1236,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM01259,1709,,blood,ALL,b_cell,
ACH-002241,HAL01,HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,949153,Unknown,Sanger,,,,,,CVCL_1242,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM00289,1192,,blood,ALL,b_cell,
ACH-002267,LC41,LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907787,Unknown,Sanger,,,,,,CVCL_1374,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM00549,583,,blood,ALL,b_cell,
ACH-002275,MN60,MN60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908143,Unknown,Sanger,,,,,,CVCL_1421,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM00438,1177,,blood,ALL,b_cell,
ACH-002308,SUPB8,SUPB8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910209,Unknown,Sanger,,,,,,CVCL_1713,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",,SIDM01177,2072,,blood,ALL,b_cell,
