Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
11	NCT04319276	Oral Gallium Maltolate for the Treatment of Relapsed and Refractory Glioblastoma		Not yet recruiting	No Results Available	Glioblastoma	"Drug: Gallium maltolate (500 mg)|Drug: Gallium maltolate (1,000 mg)|Drug: Gallium maltolate (1,500 mg)|Drug: Gallium maltolate (recommended phase 2 dose)"	Maximum-tolerated dose.|Progression-free survival|Overall survival|Dose-limiting toxicity	Medical College of Wisconsin	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	24	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PRO00041263	Feb-22	Jul-25	Jul-26	24-Mar-20		28-Oct-21			https://ClinicalTrials.gov/show/NCT04319276
12	NCT03243851	Study on Low Dose Temozolomide Plus Metformin or Placebo in Patient With Recurrent or Refractory Glioblastoma	METT	Completed	No Results Available	Glioblastoma	Drug: Temozolomide+Metformin|Drug: Temozolomide+Placebo	Comparison of progression-free survival obtained from progression-free survival curve|Response Rate|Tumor control probability|6 month progression free survival|6 month overall survival|Assessment of the quality of life of cancer patients	"Yong-Kil Hong|Saint Vincent's Hospital, Korea|Incheon St.Mary's Hospital|National Cancer Center, Korea|Konkuk University Hospital|Seoul National University Bundang Hospital|Samsung Medical Center|Seoul National University Hospital|Asan Medical Center|Ajou University School of Medicine|Severance Hospital|Chonnam National University Hospital|Seoul St. Mary's Hospital"	All	"19 Years and older   (Adult, Older Adult)"	Phase 2	81	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment"	KNOG-1501	21-Nov-16	31-Dec-20	31-Dec-20	9-Aug-17		9-Sep-21	"National Cancer Center Korea, Ilsan, Gyeonggi-Do, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-Do, Korea, Republic of|Ajou University Hospital, Suwon-si, Gyeonggi-Do, Korea, Republic of|Chonnam National University Hwasun Hospital, Hwasun, Jeollanam-Do, Korea, Republic of|Incheon St. Mary's Hospital, Incheon, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|Konkuk University Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Seoul St Mary's Hospital, Seoul, Korea, Republic of|Saint Vincent's Hospital, Korea, Suwon-si, Korea, Republic of"		https://ClinicalTrials.gov/show/NCT03243851
13	NCT03403803	Prognosis and Therapeutic Biomarkers for Glioblastoma Patients		Terminated	No Results Available	Glioblastoma	Device: Optune	"Primary Outcome - CD44 expression in cerebrospinal fluid (CSF), blood and saliva"	Baylor Research Institute	All	"22 Years and older   (Adult, Older Adult)"		10	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	160280	1-Sep-17	25-Mar-19	25-Mar-19	19-Jan-18		27-Mar-19	"Baylor Scott and White Medical Center, Temple, Texas, United States"	"Study Protocol, https://ClinicalTrials.gov/ProvidedDocs/03/NCT03403803/Prot_000.pdf|""Informed Consent Form: Main Consent"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT03403803/ICF_001.pdf|""Informed Consent Form: Control Consent"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT03403803/ICF_002.pdf"	https://ClinicalTrials.gov/show/NCT03403803
14	NCT05173623	Trial of Dichloroacetate in Glioblastoma	DCA	Not yet recruiting	No Results Available	Glioblastoma	Drug: Dichloroacetate	Level of phosphorylated PDC protein expression in tumor tissue	Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|Food and Drug Administration (FDA)	All	"18 Years to 80 Years   (Adult, Older Adult)"	Phase 2	40	Other|U.S. Fed	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2189	10-Jan-22	30-Dec-26	10-Jan-27	30-Dec-21		30-Dec-21	"Johns Hopkins University, Baltimore, Maryland, United States"		https://ClinicalTrials.gov/show/NCT05173623
15	NCT04747145	Analyzing Pulsed Reduced Dose Radiotherapy in Upfront Glioblastoma		Recruiting	No Results Available	Glioblastoma	Device: Radiation|Drug: Concurrent Chemotherapy (Temozolomide)|Drug: Adjuvant Chemotherapy (Temozolomide)	Progression-free survival|Death	Medical College of Wisconsin	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	38	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PRO00039277	3-Jun-21	Jun-25	Jun-26	10-Feb-21		12-Jul-21	"Medical College of Wisconsin, Milwaukee, Wisconsin, United States"		https://ClinicalTrials.gov/show/NCT04747145
16	NCT04004975	Clinical Study on the Treatment of Recurrent Glioblastoma With Anlotinib		Unknown status	No Results Available	Recurrent Glioblastoma	Drug: Anlotinib	Progress free survival (PFS)|Overall Survival (OS)|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Quality of Life score (QoL)	Shandong Cancer Hospital and Institute	All	"18 Years to 80 Years   (Adult, Older Adult)"	Phase 1|Phase 2	50	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ShandongCHI006	25-Jun-19	25-Jul-20	25-Jul-21	2-Jul-19		2-Jul-19	"Shandong cancer hospital, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT04004975
17	NCT04657146	Longitudinal Assessment of Marrow and Blood in Patients With Glioblastoma	LAMB-G	Not yet recruiting	No Results Available	Glioblastoma	Other: Biorepository	Variations in blood and bone marrow T cell counts|Variations in Sphingosine-1-phosphate receptor 1 (S1P1) levels	Duke University	All	"18 Years and older   (Adult, Older Adult)"		40	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	Pro00107040	1-Dec-21	31-Aug-23	31-Aug-24	8-Dec-20		20-Sep-21	"Duke University Medical Center, Durham, North Carolina, United States"		https://ClinicalTrials.gov/show/NCT04657146
18	NCT02617745	Impact of the Platelet Level in Patients Treated for Glioblastoma With Temozolomid	GLIOPLAK	Recruiting	No Results Available	Glioblastoma	Other: Platelet level determination	Number of time where platelet level was Under 100 000 per mm3|Overall survival|Therapeutic modifications	Centre Henri Becquerel	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	150	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	CHB 15.02	30-Nov-15	Nov-22	Dec-24	1-Dec-15		30-Jul-20	"Centre Henri Becquerel, Rouen, France"		https://ClinicalTrials.gov/show/NCT02617745
19	NCT02254954	"Clinical Study on Macitentan, RT and TMZ Concurrent Therapy Followed by Maintenance Macitentan and TMZ in Newly Diagnosed Glioblastoma"		Terminated	No Results Available	Glioblastoma	Drug: Macitentan in combination with RT and TMZ	"Number of subjects with dose-limiting toxicities observed during the first 10 weeks of study treatment (i.e., 6 weeks of concurrent therapy with macitentan, RT and TMZ and 4 weeks of monotherapy with macitentan).|Plasma concentrations of endothelin-1|Plasma concentrations of macitentan and its metabolite|Area under the plasma concentration-time curve (AUCτ) for macitentan during one dosing interval for subjects treated with doses of macitentan 150 mg or higher|Peak plasma concentration (Cmax) of macitentan during one dosing interval for subjects treated with doses of macitentan 150 mg or higher|Time to reach peak plasma concentration (Tmax) of macitentan during one dosing interval for subjects treated with doses of macitentan 150 mg or higher|Number of adverse events (per Common Terminology Criteria for Adverse Events [CTCAE] criteria, version 4.03]) leading to premature discontinuation of study treatment|Number of subjects with marked laboratory abnormalities or abnormal electrocardiogram (ECG) findings|Change from baseline in pulse rate, systolic & diastolic blood pressure|Exploratory efficacy endpoint of proportion of subjects with progression free survival (PFS) at 6 and 12 months|Number of adverse events (per CTCAE] criteria, version 4.03]) as a measure of safety and tolerability."	Actelion	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	30	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AC-055-118	8-Jan-15	29-Sep-16	29-Sep-16	2-Oct-14		27-Feb-18	"MD Anderson Cancer Center, Houston, Texas, United States"		https://ClinicalTrials.gov/show/NCT02254954
20	NCT03430791	"Trial of Combination TTF(Optune), Nivolumab Plus/Minus Ipilimumab for Recurrent Glioblastoma"		Terminated	No Results Available	Recurrent Glioblastoma	Drug: Nivolumab 240 mg IV|Drug: Nivolumab 3 mg/kg|Drug: Ipilimumab 1 mg/kg|Device: NovoTTF200A (Optune)	Objective response rate according to modified iRANO criteria	Baptist Health South Florida|Bristol-Myers Squibb|NovoCure Ltd.	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	5	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2017-ODI-002	5-Nov-18	10-Mar-21	10-Mar-21	13-Feb-18		1-Nov-21	"Miami Cancer Institute at Baptist Health, Inc., Miami, Florida, United States"		https://ClinicalTrials.gov/show/NCT03430791
21	NCT02799238	Autologuos Lymphoid Effector Cells Specific Against Tumour (ALECSAT) as Add on to Standard of Care in Patients With Glioblastoma	ALECSAT	Completed	No Results Available	Glioblastoma	Biological: ALECSAT|Radiation: Radiotherapy|Drug: Temozolomide	Progression Free Survival|Proportion of patients alive at 12 and 24 months|Frequency and Severity of treatment related Adverse Events	CytoVac A/S	All	"18 Years to 70 Years   (Adult, Older Adult)"	Phase 2	62	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CV-006	Mar-16	14-Nov-19	24-Feb-20	14-Jun-16		30-Apr-20	"Sahlgrenska University Hospital, Göteborg, Sweden|Ryhov hospital, Jönköping, Sweden|Skånes university hospital, Lund, Sweden|Karolinska University hospital, Stockholm, Sweden"		https://ClinicalTrials.gov/show/NCT02799238
22	NCT05108012	Nk Cell Therapy for Recurrent Glioblastoma Multiform Patients		Recruiting	No Results Available	Glioblastoma Multiform|Recurrent Glioblastoma	Biological: NK cell therapy	Toxicity assay|Adverse Events (AEs)|Safety evaluation|MRI and MRS from the tumor region|Patient survival	Royan Institute|Tehran University of Medical Sciences	All	"3 Years to 60 Years   (Child, Adult)"	Phase 1	5	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GMB1	1-Aug-21	Nov-21	Apr-22	4-Nov-21		22-Nov-21	"Royan institute, Tehran, Iran, Islamic Republic of"		https://ClinicalTrials.gov/show/NCT05108012
23	NCT04677049	Study of Niacin in Glioblastoma		Recruiting	No Results Available	Glioblastoma IDH (Isocitrate Dehydrogenase) Wildtype	Drug: Niacin CRT	Determining the Maximum Tolerated Dose|Evaluating if Niacin CRT Improves Glioblastoma Survival Rates|Effect of Niacin CRT in Peripheral Monocytes|Response Rate Associated with Niacin|Overall Survival Rate Associated with Niacin|Quality of Life While on Study using EORTC QLQ-C30 Questionnaires|Quality of Life While on Study using EORTC BN-20 Questionnaires	AHS Cancer Control Alberta|Tom Baker Cancer Centre	All	"18 Years to 75 Years   (Adult, Older Adult)"	Phase 1|Phase 2	59	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NiacinCNS2020	18-Mar-21	Jan-26	Jan-26	21-Dec-20		22-Jun-21	"Tom Baker Cancer Centre, Calgary, Alberta, Canada"		https://ClinicalTrials.gov/show/NCT04677049
24	NCT04359745	Improving Treatment of Glioblastoma: Distinguishing Progression From Pseudoprogression		Recruiting	No Results Available	Glioblastoma		Accuracy of the artificial intelligence model|Failure rate of the artificial intelligence model	Guy's and St Thomas' NHS Foundation Trust|King's College London	All	"18 Years to 80 Years   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	5.0 15/01/21	21-Mar-19	26-May-22	26-May-23	24-Apr-20		18-Mar-21	"Royal Sussex County Hospital, Brighton and Sussex University Hospitals NHS Trust, Brighton, United Kingdom|Velindre Cancer Centre, Velindre University NHS Trust, Cardiff, United Kingdom|Ninewells Hospital and Medical School, NHS Tayside, Dundee, United Kingdom|Hull Royal Infirmary, Hull University Teaching Hospitals NHS Trust, Hull, United Kingdom|Leeds General Infirmary, The Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Guy's Hospital, Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom|King's College Hospital, King's College Hospital NHS Trust, London, United Kingdom|Charing Cross Hospital, Imperial College Healthcare NHS Trust, London, United Kingdom|National Hospital for Neurology and Neurosurgery, University College London Hospitals NHS Foundation Trust, London, United Kingdom|The Christie Hospital, The Christie NHS Foundation Trust, Manchester, United Kingdom|The Freeman Hospital, Newcastle upon Tyne hospitals NHS foundation trust, Newcastle Upon Tyne, United Kingdom|The Royal Marsden Hospital, Royal Marsden NHS Foundation Trust, Sutton, United Kingdom"		https://ClinicalTrials.gov/show/NCT04359745
25	NCT03557372	Mathematical Model-Adapted Radiation In Glioblastoma		"Active, not recruiting"	Has Results	Recurrent Glioblastoma	Radiation: Mathematical Model-Adapted Radiation Fractionation Schedule	Number of Participants to Complete Model Adapted Radiations Fractionation Scheduled|Quality of Life (MD Anderson Symptom Inventory Brain Tumor)|Incidence of Radiation Necrosis|Time to Development of Radiation Necrosis|Incidence of Seizures|Time to the Development of Seizures|Overall Survival|Karnofsky Performance Status|Incidence of Grade 3+ Acute or Delayed CNS Toxicity|Time to the Development of Grade 3+ Acute or Delayed CNS Toxicity|Progression-free Survival|Local Recurrence|Incidence of Salvage Craniotomy|Time to Salvage Craniotomy|Incidence of Additional Systemic Treatments After Reirradiation|Time to Additional Systemic Treatments After Reirradiation|Tumor Volumes	Dana-Farber Cancer Institute	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	14	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	18-105	12-Nov-18	1-Jun-20	1-Jun-22	15-Jun-18	11-Jun-21	7-Jul-21	"Brigham and Women's Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States"	"Study Protocol and Statistical Analysis Plan, https://ClinicalTrials.gov/ProvidedDocs/72/NCT03557372/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/72/NCT03557372/ICF_001.pdf"	https://ClinicalTrials.gov/show/NCT03557372
26	NCT01345370	Comparison of Different Methods to Test MGMT Status in Glioblastoma Patients	ECOM	Completed	No Results Available	Glioblastoma	Drug: Temozolomide|Radiation: Radiation Therapy	Survival of patients according to their MGMT status.|Progression-Free Survival	Center Eugene Marquis|Rennes University Hospital	All	"18 Years to 70 Years   (Adult, Older Adult)"		300	Other	Observational	Time Perspective: Prospective	ECOM-Glioblastome	Mar-09	Apr-15	Jun-15	2-May-11		29-Jan-16	"CHRU Hautepierre, Strasbourg, Alsace, France|CHU de Bordeaux, Bordeaux, Aquitaine, France|CHU Cote de Nacre, Caen, Basse Normandie, France|Center Eugene Marquis, Rennes, Brittany, France|CHU La Salpetriere, Paris, Ile de France, France|CHRU de Lille, Lille, Nord Pas-de-Calais, France|CHU La Timone, Marseille, Paca, France|CHU de Poitiers, Poitiers, Poitou-Charentes, France|CHU de Grenoble, Grenoble, Rhone-Alpes, France|CHU de Lyon, Lyon, Rhone-Alpes, France"		https://ClinicalTrials.gov/show/NCT01345370
27	NCT02076152	FMISO PET Study of Glioblastoma		Completed	Has Results	Recurrent Glioblastoma	Device: FMISO PET|Device: MRI|Drug: Bevacizumab|Drug: CCNU	Change in Tumor Blood Flow/Perfusion|Change in Tumor Hypoxic Volume|Blood Vessel Permeability (Ktrans Change on MRI Scan)|Tumor Blood Flow Measured by MRI Perfusion	Massachusetts General Hospital|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	11	Other|NIH	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	13-482|R01CA129371	Feb-14	Apr-19	Apr-19	3-Mar-14	30-Jul-21	30-Jul-21	"Massachusetts General Hospital, Boston, Massachusetts, United States"	"Study Protocol and Statistical Analysis Plan, https://ClinicalTrials.gov/ProvidedDocs/52/NCT02076152/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02076152/ICF_001.pdf"	https://ClinicalTrials.gov/show/NCT02076152
28	NCT04385173	Pilot Study of B7-H3 CAR-T in Treating Patients With Recurrent and Refractory Glioblastoma		Recruiting	No Results Available	Recurrent Glioblastoma|Refractory Glioblastoma	Drug: B7-H3 CAR-T|Drug: Temozolomide	"Incidence and type of adverse events|Maximum tolerated dose (MTD)|Overall survival (OS)|Progression-free survival (PFS)|The pharmacokinetics (PK) of B7-H3 CAR-T|Disease response (ORR, CR, PR, DOR)"	"Second Affiliated Hospital, School of Medicine, Zhejiang University|BoYuan RunSheng Pharma (Hangzhou) Co., Ltd."	All	"18 Years to 75 Years   (Adult, Older Adult)"	Phase 1	12	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SAHZJU-BP102	1-Jun-20	1-May-22	1-Jul-22	12-May-20		12-May-20	"the Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT04385173
